"Well","Cycle","Target","Rn","dRn","Treatment","Minutes","Replica"
"A9",17,"RPL3_e9e10",3.1097,1.9139,"297","240","1"
"A9",18,"RPL3_e9e10",3.9767,2.7757,"297","240","1"
"A9",19,"RPL3_e9e10",4.867,3.6608,"297","240","1"
"A9",20,"RPL3_e9e10",5.7628,4.5515,"297","240","1"
"A9",21,"RPL3_e9e10",6.6347,5.4182,"297","240","1"
"A9",22,"RPL3_e9e10",7.4899,6.2682,"297","240","1"
"A9",23,"RPL3_e9e10",8.2622,7.0353,"297","240","1"
"A9",24,"RPL3_e9e10",8.9711,7.739,"297","240","1"
"A9",25,"RPL3_e9e10",9.6137,8.3765,"297","240","1"
"A9",26,"RPL3_e9e10",10.2079,8.9655,"297","240","1"
"A9",27,"RPL3_e9e10",10.7952,9.5477,"297","240","1"
"A9",28,"RPL3_e9e10",11.2306,9.9779,"297","240","1"
"A9",29,"RPL3_e9e10",11.6763,10.4184,"297","240","1"
"A9",30,"RPL3_e9e10",12.0833,10.8202,"297","240","1"
"A9",31,"RPL3_e9e10",12.4356,11.1673,"297","240","1"
"A9",32,"RPL3_e9e10",12.7885,11.5151,"297","240","1"
"A9",33,"RPL3_e9e10",13.0794,11.8008,"297","240","1"
"A9",34,"RPL3_e9e10",13.3368,12.053,"297","240","1"
"A9",35,"RPL3_e9e10",13.63,12.3411,"297","240","1"
"A9",36,"RPL3_e9e10",13.8447,12.5506,"297","240","1"
"A9",37,"RPL3_e9e10",14.0466,12.7473,"297","240","1"
"A9",38,"RPL3_e9e10",14.3453,13.0408,"297","240","1"
"A9",39,"RPL3_e9e10",14.4828,13.1731,"297","240","1"
"A9",40,"RPL3_e9e10",14.6147,13.2999,"297","240","1"
"A10",1,"RPL3_e9e10",1.0604,0.008,"297","240","2"
"A10",2,"RPL3_e9e10",1.0634,0.0026,"297","240","2"
"A10",3,"RPL3_e9e10",1.0685,-7e-04,"297","240","2"
"A10",4,"RPL3_e9e10",1.0776,0,"297","240","2"
"A10",5,"RPL3_e9e10",1.0881,0.0021,"297","240","2"
